"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"149","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","13","Private field 'newline' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"150","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","15","Avoid excessively long variable names like alwaysShowOptional","Naming Rules","LongVariable"
"151","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","15","Avoid unused private fields such as 'alwaysShowOptional'.","Unused Code Rules","UnusedPrivateField"
"152","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","15","Private field 'alwaysShowOptional' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"153","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","16","Avoid unused private fields such as 'alwaysShowLimit'.","Unused Code Rules","UnusedPrivateField"
"154","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","16","Private field 'alwaysShowLimit' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"155","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","17","Avoid excessively long variable names like shortenPropertyKeys","Naming Rules","LongVariable"
"156","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","17","Avoid unused private fields such as 'shortenPropertyKeys'.","Unused Code Rules","UnusedPrivateField"
"157","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","17","Private field 'shortenPropertyKeys' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"158","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","19","Parameter 'indent' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"159","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","19","Parameter 'multiline' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"160","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","24","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"161","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","29","Avoid excessively long variable names like withholdStartOffset","Naming Rules","LongVariable"
"162","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","29","Parameter 'offset' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"163","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","29","Parameter 'root' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"164","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","29","The method 'writeNode' has a Cyclomatic Complexity of 16.","Code Size Rules","CyclomaticComplexity"
"165","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","32","Local variable 'list' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"166","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","33","Local variable 'i' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"167","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","34","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"168","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","36","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"169","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","38","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"170","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","40","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"171","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","41","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"172","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","44","Local variable 'map' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"173","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","45","Local variable 'i' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"174","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","46","Local variable 'key' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"175","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","47","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"176","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","54","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"177","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","56","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"178","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","59","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"179","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","66","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"180","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","4","13","Avoid unused imports such as 'com.narphorium.freebase.query.io.QueryParser'","Type Resolution Rules","UnusedImports"
"181","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"182","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"183","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"184","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"185","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"186","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","29","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"187","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","29","Parameter 'readService' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"188","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","1","32","Overridable method 'reset' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"189","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","40","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"190","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","40","Local variable 'resultData' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"191","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","41","Consider simply returning the value vs storing it in local variable 'resultData'","Design Rules","UnnecessaryLocalBeforeReturn"
"192","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","63","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"193","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","84","Avoid variables with short names like q","Naming Rules","ShortVariable"
"194","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","84","Local variable 'q' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"195","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","88","Avoid variables with short names like r","Naming Rules","ShortVariable"
"196","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","88","Local variable 'r' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"197","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","90","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"198","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","93","Local variable 'obj' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"199","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","97","Avoid variables with short names like c","Naming Rules","ShortVariable"
"200","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/AbstractResultSet.java","3","97","Local variable 'c' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"201","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"202","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","23","Private field 'query' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"203","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"204","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","24","Private field 'jsonData' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"205","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","26","Parameter 'jsonData' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"206","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","26","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"207","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","31","Parameter 'path' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"208","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","35","Parameter 'variable' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"209","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","36","Local variable 'parameter' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"210","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","39","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"211","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","45","Parameter 'variable' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"212","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","55","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"213","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/DefaultResult.java","3","55","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"214","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","8","Avoid variables with short names like id","Naming Rules","ShortVariable"
"215","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"216","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","9","Private field 'names' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"217","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"218","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","10","Private field 'aliases' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"219","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"220","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","11","Private field 'types' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"221","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","15","Avoid variables with short names like id","Naming Rules","ShortVariable"
"222","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","15","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"223","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","15","Parameter 'match' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"224","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","15","Parameter 'names' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"225","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","15","Parameter 'score' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"226","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","15","Parameter 'types' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"227","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResult.java","3","27","Avoid variables with short names like id","Naming Rules","ShortVariable"
"228","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResultSet.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"229","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResultSet.java","3","9","Private field 'results' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"230","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResultSet.java","3","11","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"231","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/ReconciliationResultSet.java","3","13","Parameter 'results' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"232","com.narphorium.freebase.results","src/main/java/com/narphorium/freebase/results/SearchResultSet.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"233","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","4","20","Avoid unused imports such as 'com.narphorium.freebase.results.AbstractResultSet'","Type Resolution Rules","UnusedImports"
"234","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"235","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","27","Private field 'connectionManager' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"236","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"237","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","28","Private field 'httpClient' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"238","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"239","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"240","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","31","Private field 'jsonParser' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"241","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"242","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","32","Private field 'jsonWriter' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"243","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","38","Use the correct logging statement for logging exceptions","Jakarta Commons Logging Rules","UseCorrectExceptionLogging"
"244","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","42","Parameter 'baseUrl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"245","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","2","50","Avoid reassigning parameters such as 'url'","Design Rules","AvoidReassigningParameters"
"246","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","5","51","Found 'DU'-anomaly for variable 'content' (lines '51'-'81').","Controversial Rules","DataflowAnomalyAnalysis"
"247","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","51","Local variable 'content' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"248","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","56","Local variable 'method' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"249","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","60","Local variable 'status' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"250","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","66","Local variable 'reader' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"251","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","5","67","Found 'DD'-anomaly for variable 'line' (lines '67'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"252","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","68","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"253","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","5","68","Found 'DU'-anomaly for variable 'line' (lines '68'-'81').","Controversial Rules","DataflowAnomalyAnalysis"
"254","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","69","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"255","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","83","Parameter 'content' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"256","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","83","Parameter 'url' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"257","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","5","84","Found 'DU'-anomaly for variable 'result' (lines '84'-'113').","Controversial Rules","DataflowAnomalyAnalysis"
"258","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","84","Local variable 'result' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"259","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","5","101","Found 'DD'-anomaly for variable 'line' (lines '101'-'102').","Controversial Rules","DataflowAnomalyAnalysis"
"260","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","102","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"261","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","5","102","Found 'DU'-anomaly for variable 'line' (lines '102'-'113').","Controversial Rules","DataflowAnomalyAnalysis"
"262","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","103","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"263","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","115","Parameter 'results' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"264","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/AbstractFreebaseService.java","3","119","Parameter 'object' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"265","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","19","Avoid unused private fields such as 'queryParser'.","Unused Code Rules","UnusedPrivateField"
"266","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","19","Private field 'queryParser' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"267","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","25","Parameter 'baseUrl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"268","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","30","Parameter 'cursor' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"269","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","30","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"270","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","31","Local variable 'queries' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"271","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","34","Local variable 'cursors' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"272","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","37","Local variable 'envelope' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"273","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","38","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"274","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","40","Local variable 'response' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"275","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","47","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"276","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","51","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"277","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","61","Avoid variables with short names like i","Naming Rules","ShortVariable"
"278","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","62","Avoid variables with short names like j","Naming Rules","ShortVariable"
"279","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","66","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"280","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","67","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"281","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","68","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"282","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","70","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"283","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","72","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"284","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","88","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"285","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","3","93","Avoid unused local variables such as 'info'.","Unused Code Rules","UnusedLocalVariable"
"286","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReadService.java","5","93","Found 'DU'-anomaly for variable 'info' (lines '93'-'103').","Controversial Rules","DataflowAnomalyAnalysis"
"287","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","28","Parameter 'values' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"288","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","30","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"289","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","33","Local variable 'query' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"290","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","36","Local variable 'parameters' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"291","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","39","Local variable 'response' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"292","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","42","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"293","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","49","Parameter 'values' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"294","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","54","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"295","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","55","Local variable 'results' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"296","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","59","Avoid variables with short names like id","Naming Rules","ShortVariable"
"297","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/ReconciliationService.java","3","64","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
